GeneID	NonTargeting_rep1	NonTargeting_rep2	p63KD_rep1	p63KD_rep2
ALPP	10108	11188	12918	11527
ALPPL2	186	132	238	213
ALS2	2581	2472	2543	2471
ALS2CL	12051	12185	15161	13107
ALS2CR11	1	1	0	0
ALS2CR12	59	57	69	61
ALX1	0	0	0	0
ALX3	0	0	1	0
ALX4	639	629	585	535
ALYREF	2417	2520	1185	1265
AMACR	555	544	649	588
AMBN	0	0	1	0
AMBP	7	8	1	1
AMBRA1	3423	3126	3453	3409
AMD1	10285	9990	7250	7149
AMDHD1	270	261	482	477
AMDHD2	892	951	873	792
AMELX	0	0	0	0
AMELY	0	0	0	0
AMER1	839	824	520	504
AMER2	0	0	1	0
AMER3	1	0	0	0
AMFR	6859	6684	8189	7746
AMH	422	607	523	445
AMHR2	0	0	0	0
AMICA1	0	0	0	3
AMIGO1	439	427	688	651
AMIGO2	964	1025	750	772
AMIGO3	393	395	522	490
AMMECR1	2796	2620	2007	1914
AMMECR1L	2535	2463	2406	2278
AMN	83	100	147	148
AMN1	368	349	360	409
AMOT	1218	1127	790	793
AMOTL1	20204	18672	17614	17598
AMOTL2	9206	9110	10352	9859
AMPD1	0	0	1	0
AMPD2	1544	1508	997	982
AMPD3	4321	4302	6630	6213
AMPH	0	0	1	1
AMT	161	191	226	151
AMTN	44	52	9	8
AMY1A	0	0	0	0
AMY1B	0	0	0	0
AMY1C	0	0	0	0
AMY2A	0	0	0	0
AMY2B	118	108	280	275
AMZ1	0	0	2	0
AMZ2	5137	4808	3572	3664
AMZ2P1	812	840	784	721
ANAPC1	6976	6699	4288	4270
ANAPC10	583	638	464	501
ANAPC11	2015	1938	1935	1873
ANAPC13	2525	2397	2923	2840
ANAPC15	3627	3458	2375	2446
ANAPC16	8377	7973	9247	9289
ANAPC1P1	2	3	0	0
ANAPC2	1987	2051	1973	1793
ANAPC4	2609	2621	1924	1904
ANAPC5	7098	7107	6176	5806
ANAPC7	4634	4628	3255	3163
ANG	86	110	98	77
ANGEL1	1863	1800	2128	1917
ANGEL2	1685	1579	1283	1350
ANGPT1	61	37	13	17
ANGPT2	8	5	3	5
ANGPT4	6	10	2	0
ANGPTL1	1	3	3	3
ANGPTL2	0	0	0	1
ANGPTL3	0	1	3	2
ANGPTL4	2	3	13	9
ANGPTL5	0	0	2	3
ANGPTL6	4	8	11	4
ANGPTL7	0	0	0	0
ANHX	0	0	0	0
ANK1	341	285	40	37
ANK2	39	37	3	8
ANK3	4164	3877	3129	3066
ANKAR	86	92	86	76
ANKDD1A	5	0	1	2
ANKDD1B	11	10	19	16
ANKEF1	553	602	525	529
ANKFN1	1	0	0	0
ANKFY1	7893	7268	5988	5755
ANKH	8090	7845	5429	4809
ANKHD1	579	529	430	485
ANKHD1-EIF4EBP3	120	110	159	157
ANKIB1	5273	4877	4772	4697
ANKK1	18	6	32	22
ANKLE1	29	29	16	13
ANKLE2	5349	5438	7654	7276
ANKMY1	820	777	975	854
ANKMY2	2175	2281	2281	2199
ANKRA2	957	891	939	927
ANKRD1	15	10	44	40
ANKRD10	4739	4495	6599	6151
ANKRD11	7987	7526	5684	5433
ANKRD12	2273	2298	3043	2980
ANKRD13A	6711	6678	13158	13048
ANKRD13B	264	294	191	169
ANKRD13C	1652	1517	1799	1840
ANKRD13D	2005	1995	1989	1825
ANKRD16	588	539	592	550
ANKRD17	7982	7234	7548	7280
ANKRD18A	743	827	481	426
ANKRD18B	1074	947	394	458
ANKRD18DP	0	0	1	1
ANKRD19P	2215	2372	1466	1247
ANKRD2	939	980	531	515
ANKRD20A1	0	0	0	0
ANKRD20A11P	8	7	1	2
ANKRD20A12P	548	495	293	290
ANKRD20A19P	0	0	0	0
ANKRD20A2	0	0	0	0
ANKRD20A3	0	0	0	0
ANKRD20A4	12	19	8	5
ANKRD20A5P	367	383	123	136
ANKRD20A8P	3	2	1	2
ANKRD20A9P	187	166	86	69
ANKRD22	587	567	1036	1074
ANKRD23	194	192	205	150
ANKRD24	7	3	2	3
ANKRD26	1380	1357	1158	1173
ANKRD26P1	3	1	6	1
ANKRD26P3	0	0	0	0
ANKRD27	1974	1832	1655	1578
ANKRD28	4262	4034	3505	3352
ANKRD29	203	215	343	340
ANKRD30A	0	2	1	0
ANKRD30B	1	0	2	3
ANKRD30BL	0	0	0	0
ANKRD30BP2	0	0	1	1
ANKRD30BP3	0	0	0	0
ANKRD31	19	13	2	11
ANKRD32	943	899	584	604
ANKRD33	0	0	0	0
ANKRD33B	73	104	22	26
ANKRD34A	31	43	47	37
ANKRD34B	4	5	8	7
ANKRD34C	0	0	0	2
ANKRD35	5	1	13	8
ANKRD36	402	434	188	206
ANKRD36B	406	380	262	220
ANKRD36BP1	0	0	1	1
ANKRD36BP2	1	0	0	0
ANKRD37	33	48	29	38
ANKRD39	313	322	294	265
ANKRD40	2054	1995	1834	1753
ANKRD42	459	438	727	642
ANKRD44	219	204	218	203
ANKRD44-IT1	1	0	0	1
ANKRD45	5	5	2	2
ANKRD46	1146	1079	1349	1299
ANKRD49	1611	1646	1330	1237
ANKRD50	3393	3242	3070	3009
ANKRD52	7149	7111	8913	8719
ANKRD53	0	1	9	5
ANKRD54	829	780	652	626
ANKRD55	2	0	1	2
ANKRD6	1501	1314	1148	1113
ANKRD61	9	13	5	5
ANKRD62	6	9	2	1
ANKRD62P1-PARP4P3	0	0	0	0
ANKRD63	2	1	0	0
ANKRD65	2059	1931	461	450
ANKRD66	0	0	0	0
ANKRD7	3	5	4	5
ANKRD9	410	453	691	656
ANKS1A	3259	2941	2955	2714
ANKS1B	1	2	2	0
ANKS3	488	500	433	392
ANKS4B	0	0	1	0
ANKS6	3457	3291	4710	4274
ANKUB1	6	0	1	0
ANKZF1	2193	2261	1982	1680
ANLN	25986	26038	6665	6647
ANO1	961	957	961	972
ANO1-AS2	0	0	0	0
ANO10	2681	2612	3355	3246
ANO2	443	543	455	464
ANO3	1	0	15	10
ANO4	1	0	4	2
ANO5	0	0	0	0
ANO6	4672	4538	5641	5552
ANO7	107	91	97	81
ANO8	2693	2892	4150	3510
ANO9	2862	2860	2437	2137
ANP32A	6128	5871	4252	4305
ANP32A-IT1	29	15	15	27
ANP32AP1	0	1	0	0
ANP32B	14355	13799	7761	7740
ANP32C	0	0	0	0
ANP32D	1	0	0	0
ANP32E	6970	6826	2850	2867
ANPEP	1	1	5	3
ANTXR1	5413	5422	10579	10421
ANTXR2	513	435	1316	1292
ANTXRL	7	8	13	7
ANTXRLP1	1	0	0	0
ANXA1	10916	9998	3040	3098
ANXA10	11	10	15	11
ANXA11	14393	14020	16786	16478
ANXA13	4	0	1	2
ANXA2	55744	53932	56404	57087
ANXA2P1	0	0	0	0
ANXA2P2	80	69	56	58
ANXA2P3	1	2	1	3
ANXA2R	47	35	19	27
ANXA3	9399	9283	11921	12734
ANXA4	5757	5347	5073	4842
ANXA5	11258	10708	9921	10115
ANXA6	453	455	809	780
ANXA7	7787	7564	7314	7391
ANXA8	4474	4542	2049	2080
ANXA8L1	7143	7183	3841	3502
ANXA9	1850	1622	2181	1951
AOAH	1	1	0	1
AOAH-IT1	0	0	0	0
AOC1	4336	4550	19305	17789
AOC2	25	35	34	27
AOC3	13	8	10	4
AOC4P	0	0	0	0
AOX1	355	313	965	954
AOX2P	18	15	40	25
AP1AR	1732	1661	1467	1455
AP1B1	9156	8844	9009	8670
AP1B1P1	0	0	0	0
AP1G1	7523	7230	7403	7184
AP1G2	5442	5257	5917	5040
AP1M1	1646	1623	1184	1068
AP1M2	5098	4695	5780	5803
AP1S1	3204	3135	2913	2865
AP1S2	599	529	274	282
AP1S3	2707	2662	1920	1922
AP2A1	4832	4754	4383	4175
AP2A2	3354	3254	3981	3786
